id,short_code,reference_number,transaction_data,expires_at,used,created_at
32,DJIDBI,NUTE-20251121-9249,"{""items"":[{""price"":""70.00"",""quantity"":2,""is_reward"":false,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""},{""price"":""40.00"",""quantity"":1,""is_reward"":false,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""DJIDBI"",""total_amount"":""180.00"",""total_points"":18,""reference_number"":""NUTE-20251121-9249"",""transaction_date"":""2025-11-21T13:42:19.197Z"",""transaction_type"":""Purchase""}",2025-11-21T13:52:19.448+00:00,false,2025-11-21T13:42:19.953997+00:00
33,1BN36W,NUTE-20251121-3243,"{""items"":[{""price"":""70.00"",""quantity"":2,""is_reward"":false,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""},{""price"":""40.00"",""quantity"":2,""is_reward"":false,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""},{""price"":""70.00"",""quantity"":1,""is_reward"":false,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""},{""price"":""50.00"",""quantity"":2,""is_reward"":false,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""},{""price"":""45.00"",""quantity"":1,""is_reward"":false,""product_id"":26,""product_name"":""Katsu Musubi""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""1BN36W"",""total_amount"":""435.00"",""total_points"":43.5,""reference_number"":""NUTE-20251121-3243"",""transaction_date"":""2025-11-21T13:44:34.524Z"",""transaction_type"":""Purchase""}",2025-11-21T13:54:34.644+00:00,false,2025-11-21T13:44:35.094071+00:00
34,LRYFGZ,NUTE-20251121-4018,"{""items"":[{""price"":""70.00"",""quantity"":2,""is_reward"":false,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""},{""price"":""70.00"",""quantity"":2,""is_reward"":false,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""},{""price"":""40.00"",""quantity"":2,""is_reward"":false,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""},{""price"":""45.00"",""quantity"":1,""is_reward"":false,""product_id"":26,""product_name"":""Katsu Musubi""},{""price"":""50.00"",""quantity"":1,""is_reward"":false,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""},{""price"":""30.00"",""quantity"":1,""is_reward"":false,""product_id"":23,""product_name"":""Milo Dinosour (12 oz)""},{""price"":""40.00"",""quantity"":1,""is_reward"":false,""product_id"":24,""product_name"":""Milo Dinosour (16 oz)""},{""price"":""10.00"",""quantity"":1,""is_reward"":false,""product_id"":22,""product_name"":""Add Ons""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""LRYFGZ"",""total_amount"":""535.00"",""total_points"":53.5,""reference_number"":""NUTE-20251121-4018"",""transaction_date"":""2025-11-21T13:49:17.357Z"",""transaction_type"":""Purchase""}",2025-11-21T13:59:17.595+00:00,false,2025-11-21T13:49:18.08843+00:00
35,FIPH8M,NUTE-20251121-8874,"{""items"":[{""price"":""45.00"",""quantity"":3,""is_reward"":false,""product_id"":26,""product_name"":""Katsu Musubi""},{""price"":""50.00"",""quantity"":3,""is_reward"":false,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""},{""price"":""35.00"",""quantity"":5,""is_reward"":false,""product_id"":16,""product_name"":""Gyoza (5 pcs.)""},{""price"":""40.00"",""quantity"":1,""is_reward"":false,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""},{""price"":""70.00"",""quantity"":1,""is_reward"":false,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""FIPH8M"",""total_amount"":""570.00"",""total_points"":57,""reference_number"":""NUTE-20251121-8874"",""transaction_date"":""2025-11-21T13:51:44.407Z"",""transaction_type"":""Purchase""}",2025-11-21T14:01:44.589+00:00,false,2025-11-21T13:51:45.051408+00:00
36,R9GAJ7,NUTE-20251121-7518,"{""items"":[{""price"":""35.00"",""quantity"":2,""is_reward"":false,""product_id"":16,""product_name"":""Gyoza (5 pcs.)""},{""price"":""50.00"",""quantity"":2,""is_reward"":false,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""},{""price"":""70.00"",""quantity"":1,""is_reward"":false,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""R9GAJ7"",""total_amount"":""240.00"",""total_points"":24,""reference_number"":""NUTE-20251121-7518"",""transaction_date"":""2025-11-21T13:52:40.241Z"",""transaction_type"":""Purchase""}",2025-11-21T14:02:40.336+00:00,false,2025-11-21T13:52:40.743461+00:00
37,QIFAE8,NUTE-20251121-5395,"{""items"":[{""price"":""35.00"",""quantity"":3,""is_reward"":false,""product_id"":16,""product_name"":""Gyoza (5 pcs.)""},{""price"":""70.00"",""quantity"":2,""is_reward"":false,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""},{""price"":""50.00"",""quantity"":1,""is_reward"":false,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""},{""price"":""45.00"",""quantity"":1,""is_reward"":false,""product_id"":26,""product_name"":""Katsu Musubi""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""QIFAE8"",""total_amount"":""340.00"",""total_points"":34,""reference_number"":""NUTE-20251121-5395"",""transaction_date"":""2025-11-21T14:11:30.396Z"",""transaction_type"":""Purchase""}",2025-11-21T14:21:30.497+00:00,false,2025-11-21T14:11:30.780544+00:00
38,E0UJ03,NUTE-20251121-4425,"{""items"":[{""price"":""70.00"",""quantity"":6,""is_reward"":false,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""},{""price"":""70.00"",""quantity"":8,""is_reward"":false,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""},{""price"":""10.00"",""quantity"":2,""is_reward"":false,""product_id"":22,""product_name"":""Add Ons""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""E0UJ03"",""total_amount"":""1000.00"",""total_points"":100,""reference_number"":""NUTE-20251121-4425"",""transaction_date"":""2025-11-21T14:18:15.782Z"",""transaction_type"":""Purchase""}",2025-11-21T14:28:15.987+00:00,false,2025-11-21T14:18:16.255875+00:00
39,53TSRI,NUTE-20251121-1293,"{""items"":[{""price"":""40.00"",""quantity"":1,""is_reward"":false,""product_id"":24,""product_name"":""Milo Dinosour (16 oz)""},{""price"":""30.00"",""quantity"":1,""is_reward"":false,""product_id"":23,""product_name"":""Milo Dinosour (12 oz)""},{""price"":""45.00"",""quantity"":1,""is_reward"":false,""product_id"":26,""product_name"":""Katsu Musubi""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""53TSRI"",""total_amount"":""115.00"",""total_points"":11.5,""reference_number"":""NUTE-20251121-1293"",""transaction_date"":""2025-11-21T14:19:35.624Z"",""transaction_type"":""Purchase""}",2025-11-21T14:29:35.847+00:00,false,2025-11-21T14:19:36.100882+00:00
40,I3U8ZH,NUTE-20251121-9094,"{""items"":[{""price"":""40.00"",""quantity"":2,""is_reward"":false,""product_id"":24,""product_name"":""Milo Dinosour (16 oz)""},{""price"":""30.00"",""quantity"":2,""is_reward"":false,""product_id"":23,""product_name"":""Milo Dinosour (12 oz)""},{""price"":""45.00"",""quantity"":2,""is_reward"":false,""product_id"":26,""product_name"":""Katsu Musubi""},{""price"":""50.00"",""quantity"":2,""is_reward"":false,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""I3U8ZH"",""total_amount"":""330.00"",""total_points"":33,""reward_points"":0,""reference_number"":""NUTE-20251121-9094"",""transaction_date"":""2025-11-21T14:41:29.764Z"",""transaction_type"":""Purchase""}",2025-11-21T14:51:29.883+00:00,false,2025-11-21T14:41:30.034665+00:00
41,PVNOLN,NUTE-20251121-3723,"{""items"":[{""price"":""45.00"",""quantity"":1,""is_reward"":false,""product_id"":26,""product_name"":""Katsu Musubi""},{""price"":""50.00"",""quantity"":1,""is_reward"":false,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""PVNOLN"",""total_amount"":""95.00"",""total_points"":9.5,""reward_points"":0,""reference_number"":""NUTE-20251121-3723"",""transaction_date"":""2025-11-21T14:55:00.202Z"",""transaction_type"":""Purchase""}",2025-11-21T15:05:00.499+00:00,false,2025-11-21T14:55:00.600043+00:00
